Date : 2025-04-13 00:23:31
Directory : c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main
Total : 120 files,  19412 codes, 3044 comments, 2521 blanks, all 24977 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\CORE-WEB-VITALS-FIX.md                                  | Markdown   |        134 |          0 |         35 |        169 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\POPUP-REFACTORING.md                                    | Markdown   |         93 |          0 |         29 |        122 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\README.md                                               | Markdown   |        237 |          0 |         44 |        281 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\REFACTORING-GUIDE.md                                    | Markdown   |        412 |          0 |        103 |        515 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\SPA-DETECTION-FIX.md                                    | Markdown   |        103 |          0 |         21 |        124 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\URL-CHANGE-BUG-FIX.md                                   | Markdown   |        106 |          0 |         38 |        144 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\WEB-VITALS-FIX.md                                       | Markdown   |         46 |          0 |         11 |         57 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\css\animations.css                                      | CSS        |         31 |          1 |          4 |         36 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\css\styles.css                                          | CSS        |         20 |          2 |          2 |         24 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\lib\direct-web-vitals.js                             | JavaScript |        285 |         51 |         57 |        393 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\lib\react-dom.production.min.js                      | JavaScript |        256 |         11 |          1 |        268 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\lib\react.production.min.js                          | JavaScript |         22 |          9 |          1 |         32 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\lib\web-vitals-handler.js                            | JavaScript |        188 |         50 |         31 |        269 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\lib\web-vitals.iife.js                               | JavaScript |          1 |          0 |          1 |          2 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\App.js                            | JavaScript |        190 |         62 |         43 |        295 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\ContentOverview.js                | JavaScript |         29 |          9 |          5 |         43 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\ContentRecommendations.js         | JavaScript |         77 |         14 |         11 |        102 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\CoreWebVitals.js                  | JavaScript |        138 |         61 |         34 |        233 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\CoreWebVitalsDetail.js            | JavaScript |         83 |         26 |         19 |        128 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\Footer.js                         | JavaScript |         11 |          7 |          2 |         20 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\Header.js                         | JavaScript |         64 |         18 |          5 |         87 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\HeadingStructure.js               | JavaScript |        234 |         35 |         25 |        294 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\ImageAnalysis.js                  | JavaScript |        192 |         13 |          6 |        211 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\IssuesSummary.js                  | JavaScript |         22 |          9 |          5 |         36 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\MetricItem.js                     | JavaScript |         14 |         11 |          3 |         28 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\NavTabs.js                        | JavaScript |         37 |         14 |          4 |         55 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\OpenGraphTags.js                  | JavaScript |         30 |          9 |          6 |         45 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\PerformanceRecommendations.js     | JavaScript |         35 |          7 |          3 |         45 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\PerformanceScoreCard.js           | JavaScript |         17 |         10 |          3 |         30 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\ResponseDetails.js                | JavaScript |        202 |         53 |         35 |        290 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\SeoScoreCard.js                   | JavaScript |         72 |         14 |          6 |         92 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\SerpPreview.js                    | JavaScript |         68 |         34 |         12 |        114 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\ServerDetails.js                  | JavaScript |         44 |         19 |          7 |         70 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\ServerResponseTime.js             | JavaScript |         25 |          7 |          4 |         36 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\TextAnalysis.js                   | JavaScript |         73 |         12 |         10 |         95 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\WebsiteInformation.js             | JavaScript |         45 |          9 |          6 |         60 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\common\RecommendationItem.js      | JavaScript |         45 |         10 |          4 |         59 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\common\StatItem.js                | JavaScript |         24 |          9 |          2 |         35 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\content\ContentTabHeader.js       | JavaScript |         36 |         11 |          3 |         50 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\content\ImageContentTab.js        | JavaScript |        122 |         21 |         14 |        157 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\content\ImageIssueCard.js         | JavaScript |         77 |         12 |          7 |         96 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\content\ImageTable.js             | JavaScript |        197 |         15 |          6 |        218 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\content\TextContentTab.js         | JavaScript |         74 |         15 |         12 |        101 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\links\LinkAnalysisTable.js        | JavaScript |        171 |         27 |         11 |        209 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\links\LinkCountCards.js           | JavaScript |         37 |          9 |          5 |         51 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\links\LinkDistribution.js         | JavaScript |         76 |         13 |          7 |         96 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\links\LinkExportButton.js         | JavaScript |        103 |         12 |          7 |        122 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\links\LinkIssuesTable.js          | JavaScript |         92 |         14 |         13 |        119 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\links\LinkStatusChecker.js        | JavaScript |         85 |         15 |          7 |        107 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\links\LinkStatusFilter.js         | JavaScript |        261 |         42 |         32 |        335 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\links\LinkTable.js                | JavaScript |        607 |         79 |         60 |        746 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\status\LoadingDisplay.js          | JavaScript |         36 |         12 |          4 |         52 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\status\NetworkErrorDisplay.js     | JavaScript |         35 |         14 |          5 |         54 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\status\RefreshButton.js           | JavaScript |         27 |         14 |          3 |         44 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\components\status\SpaNavigationDisplay.js    | JavaScript |         88 |         24 |         10 |        122 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\data-service.js                              | JavaScript |        273 |         39 |         45 |        357 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\services\data-fetching-service.js            | JavaScript |        238 |         51 |         35 |        324 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\services\link-service.js                     | JavaScript |        604 |        144 |        110 |        858 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\services\navigation-service.js               | JavaScript |         96 |         48 |         28 |        172 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\services\performance-service.js              | JavaScript |        150 |         45 |         28 |        223 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\services\server-service.js                   | JavaScript |        113 |         42 |         35 |        190 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\store.js                                     | JavaScript |        224 |         56 |         52 |        332 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\styles.js                                    | JavaScript |        330 |          8 |          4 |        342 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\tabs\ai-tab.js                               | JavaScript |        112 |         15 |         12 |        139 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\tabs\content-tab.js                          | JavaScript |        131 |         44 |         27 |        202 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\tabs\index.js                                | JavaScript |         10 |          7 |          4 |         21 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\tabs\issues-tab.js                           | JavaScript |         93 |         16 |         10 |        119 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\tabs\links-tab.js                            | JavaScript |        319 |         64 |         60 |        443 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\tabs\overview-tab.js                         | JavaScript |         69 |         17 |         17 |        103 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\tabs\performance-tab.js                      | JavaScript |         25 |         19 |         11 |         55 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\tabs\settings-tab.js                         | JavaScript |         92 |         19 |         11 |        122 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\tabs\structured-tab.js                       | JavaScript |         98 |         15 |         14 |        127 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\ui-helpers.js                                | JavaScript |        103 |         11 |         19 |        133 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\modules\utils.js                                     | JavaScript |         32 |          8 |          8 |         48 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\js\popup.js                                             | JavaScript |         22 |         11 |          5 |         38 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\manifest.json                                           | JSON       |         51 |          0 |          1 |         52 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\package-lock.json                                       | JSON       |      4,712 |          0 |          1 |      4,713 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\package.json                                            | JSON       |         25 |          0 |          1 |         26 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\planning.md                                             | Markdown   |        134 |          0 |         32 |        166 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\popup.html                                              | HTML       |         15 |          2 |          2 |         19 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\rebuild.bat                                             | Batch      |         23 |          0 |          5 |         28 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\src\background\background.js                            | JavaScript |         39 |         17 |         14 |         70 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\src\background\controllers\link-checker-controller.js   | JavaScript |        131 |         38 |         26 |        195 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\src\background\controllers\message-controller.js        | JavaScript |        257 |         80 |         55 |        392 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\src\background\controllers\navigation-controller.js     | JavaScript |         68 |         52 |         26 |        146 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\src\background\controllers\seo-data-controller.js       | JavaScript |        189 |         72 |         39 |        300 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\src\background\controllers\server-info-controller.js    | JavaScript |         51 |         17 |         12 |         80 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\src\background\controllers\spa-navigation-controller.js | JavaScript |        143 |         59 |         39 |        241 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\src\background\controllers\tab-controller.js            | JavaScript |         25 |         16 |          7 |         48 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\src\background\controllers\web-request-controller.js    | JavaScript |        319 |        119 |         87 |        525 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\src\background\controllers\web-vitals-controller.js     | JavaScript |        158 |         55 |         25 |        238 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\src\background\services\cleanup-service.js              | JavaScript |         47 |         19 |         17 |         83 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\src\background\services\link-checker-service.js         | JavaScript |        250 |         67 |         43 |        360 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\src\background\services\messaging-service.js            | JavaScript |         94 |         48 |         17 |        159 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\src\background\services\server-info-service.js          | JavaScript |         69 |         19 |         14 |        102 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\src\background\services\storage-service.js              | JavaScript |        107 |         76 |         26 |        209 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\src\background\services\vercel-link-service.js          | JavaScript |        126 |         43 |         31 |        200 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\src\background\services\web-vitals-service.js           | JavaScript |        144 |         61 |         37 |        242 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\src\content\analyzers\web-vitals-analyzer.js            | JavaScript |        212 |         53 |         30 |        295 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\src\content\content-controller.js                       | JavaScript |        158 |         61 |         48 |        267 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\src\content\content.js                                  | JavaScript |         18 |          7 |          7 |         32 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\src\content\detectors\spa-detector.js                   | JavaScript |        269 |        104 |         65 |        438 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\src\content\extractors\seo-extractor.js                 | JavaScript |        302 |         63 |         38 |        403 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\src\content\utils\dom-utils.js                          | JavaScript |        422 |        102 |         77 |        601 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\src\content\utils\link-checker.js                       | JavaScript |        138 |         21 |         22 |        181 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\src\shared\constants.js                                 | JavaScript |         70 |          1 |         10 |         81 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\src\shared\constants\dom-constants.js                   | JavaScript |          6 |          7 |          6 |         19 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\src\shared\utils\logger.js                              | JavaScript |         37 |         29 |          5 |         71 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\src\shared\utils\messaging.js                           | JavaScript |        235 |         64 |         29 |        328 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\src\shared\utils\storage-utils.js                       | JavaScript |         64 |         23 |          6 |         93 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\src\shared\utils\string-utils.js                        | JavaScript |         28 |         17 |         10 |         55 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\update-content.md                                       | Markdown   |        196 |          0 |         37 |        233 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\webpack.config.cjs                                      | JavaScript |         61 |          4 |          2 |         67 |
| c:\Users\thanh\Desktop\react-test-project\extension-claude\extension-main\webpack.config.js                                       | JavaScript |         57 |          4 |          2 |         63 |
| Total                                                                                                                             |            |     19,412 |      3,044 |      2,521 |     24,977 |
+-----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
